,WETH,wstETH,WBTC,USDC,DAI,LINK,AAVE,cbETH,USDT,rETH,LUSD,CRV,MKR,SNX,BAL,UNI,LDO,ENS,1INCH,FRAX,GHO,RPL,sDAI,STG,KNC,FXS,crvUSD,PYUSD,weETH,osETH,USDe,ETHx,sUSDe,tBTC,cbBTC,USDS,rsETH,LBTC,eBTC,RLUSD,PT-eUSDE-29MAY2025,PT-sUSDE-31JUL2025,USDtb,PT-USDe-31JUL2025,PT-eUSDE-14AUG2025,eUSDe,FBTC,EURC,PT-sUSDE-25SEP2025,PT-USDe-25SEP2025,tETH,ezETH,XAUt,PT-sUSDE-27NOV2025,PT-USDe-27NOV2025
Frozen,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Paused,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Collateral Enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LTV,80.50%,78.50%,73%,75%,63%,66%,69%,75%,75%,75%,0%,35%,65%,0%,57%,65%,40%,39%,57%,0%,0%,0%,75%,0%,0%,0%,0%,75%,77.50%,72.50%,72%,74.50%,72%,73%,73%,75%,72%,70%,67%,0%,0.05%,0.05%,0%,0.05%,0.05%,0.05%,73%,75%,0.05%,0.05%,0.05%,0.05%,70%,0.05%,0.05%
Liquidation Threshold,83%,81%,78%,78%,77%,71%,76%,79%,78%,79%,77%,41%,70%,65%,59%,74%,50%,49%,67%,72%,0%,0%,78%,37%,37%,42%,0%,78%,80%,75%,75%,77%,75%,78%,78%,78%,75%,75%,72%,0%,0.10%,0.10%,0%,0.10%,0.10%,0.10%,78%,78%,0.10%,0.10%,0.10%,0.10%,75%,0.10%,0.10%
Liquidation Bonus,5%,6%,5%,4.50%,5%,7%,7.50%,7.50%,4.50%,7.50%,4.50%,8.30%,8.50%,8.50%,8.30%,0%,9%,8%,7.50%,6%,0%,0%,4.50%,0%,0%,0%,0%,7.50%,7%,7.50%,8.50%,7.50%,8.50%,7.50%,7.50%,7.50%,7.50%,8.50%,0%,0%,7.50%,7.50%,0%,7.50%,7.50%,7.50%,7.50%,5%,7.50%,7.50%,7.50%,7.50%,6%,7.50%,7.50%
Reserve Factor,15%,35%,50%,10%,25%,20%,0%,15%,10%,15%,20%,35%,20%,95%,20%,20%,20%,20%,20%,20%,100%,20%,20%,20%,20%,20%,20%,20%,45%,15%,25%,15%,20%,50%,50%,10%,15%,50%,50%,20%,20%,20%,20%,45%,45%,45%,50%,10%,10%,25%,15%,15%,20%,45%,45%
Borrowing Enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Optimal Utilization,92%,80%,80%,92%,92%,45%,45%,45%,92%,45%,80%,45%,45%,45%,45%,45%,45%,45%,45%,90%,99%,80%,90%,45%,45%,45%,80%,80%,30%,45%,90%,45%,90%,80%,80%,92%,45%,45%,45%,80%,45%,45%,80%,45%,45%,45%,45%,90%,90%,45%,45%,45%,45%,45%,45%
Variable Borrow Rate,2.30%,0.22%,0.21%,5.79%,5.58%,0.58%,0.00%,0.09%,12.30%,0.07%,5.92%,7.93%,0.01%,16.00%,6.93%,0.61%,1.80%,1.07%,2.03%,4.85%,6.18%,6.71%,0.00%,0.33%,3.65%,0.24%,5.24%,5.89%,1.02%,0.00%,3.53%,0.00%,0.00%,0.17%,0.11%,6.20%,0.00%,0.00%,0.00%,4.26%,0.00%,0.00%,4.77%,0.00%,0.00%,0.00%,0.00%,4.54%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Isolated,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Debt Ceiling,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000M,12.000M,0.000M,2.900M,17.000M,2.500M,1.022M,1.180M,N/A,N/A,N/A,N/A,3.000M,1.000M,4.000M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.000M,N/A,N/A
Supply Cap,0.0032B,0.0018B,0.0000B,7.5000B,0.3380B,0.0200B,0.0019B,0.0000B,9.5000B,0.0001B,0.0070B,0.0173B,0.0000B,0.0000B,0.0100B,0.0060B,0.0050B,0.0001B,0.0180B,0.0000B,0.0000B,0.0008B,0.0050B,0.0100B,0.0012B,0.0012B,0.0050B,0.0600B,0.0022B,0.0003B,2.7000B,0.0000B,1.7000B,0.0000B,0.0000B,0.8000B,0.0005B,0.0000B,0.0000B,0.6000B,0.0000B,0.0000B,0.2000B,0.0000B,0.0000B,0.5500B,0.0000B,0.0460B,2.4000B,1.8000B,0.0000B,0.0001B,0.0000B,2.4000B,2.0000B
Borrow Cap,0.0029B,0.0005B,0.0000B,7.0000B,0.2710B,0.0130B,N/A,0.0000B,8.8000B,0.0000B,0.0050B,0.0070B,0.0000B,0.0000B,0.0010B,0.0003B,0.0005B,0.0000B,0.0005B,0.0000B,0.1800B,0.0005B,N/A,0.0032B,0.0003B,0.0003B,0.0025B,0.0150B,0.0000B,0.0000B,2.5000B,0.0000B,N/A,0.0000B,0.0000B,0.3600B,0.0000B,0.0000B,0.0000B,0.1200B,0.0000B,0.0000B,0.1600B,0.0000B,0.0000B,0.0000B,0.0000B,0.0423B,0.0000B,0.0000B,N/A,N/A,0.0000B,0.0000B,0.0000B
Borrowable in Isolation,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Flashloan Enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE